id,value
id_0,25.29414040820047
id_1,63.630636511226164
id_2,18.97070611037273
id_3,29.473522528734378
id_4,9.367613674139719
id_5,33.01765745267739
id_6,41.04125465382198
id_7,17.648171994465933
id_8,52.472650806145744
id_9,32.49864167405564
id_10,38.85792931103625
id_11,58.64178604584199
id_12,35.29624533410819
id_13,41.63203562769033
id_14,26.77707585392008
id_15,12.456882184752509
id_16,51.63173422728075
id_17,23.607911911544427
id_18,17.838147662763063
id_19,18.99519072709151
id_20,15.787256035059718
id_21,31.12953343924501
id_22,38.88212805969152
id_23,11.051436314172578
id_24,61.40351299911675
id_25,46.25263879746138
id_26,28.75953078801198
id_27,7.018203834822277
id_28,29.36854114562172
id_29,36.636586915039814
id_30,18.035432526650645
id_31,11.617681675160606
id_32,16.6212527940075
id_33,7.80022394308006
id_34,15.724990099410178
id_35,42.364916212810655
id_36,22.20427659737655
id_37,27.749600141197032
id_38,8.708547823676069
id_39,58.891430220398895
id_40,47.77841634551592
id_41,20.129986286626497
id_42,52.590525722079576
id_43,18.405994827947634
id_44,44.79836595420687
id_45,49.50253106358376
id_46,57.394556792646775
id_47,41.02730862464809
id_48,55.45248550449466
id_49,39.581285785018416
id_50,30.365441031352873
id_51,24.25010036996758
id_52,38.78459631061418
id_53,23.567862715676966
id_54,37.40992393976276
id_55,38.72617328048186
id_56,24.824321721318476
id_57,21.922578169743186
id_58,35.66278724117728
id_59,32.335264993670314
id_60,13.519213431855437
id_61,22.128157556072495
id_62,32.51747491603131
id_63,53.9798017323251
id_64,50.58666914752654
id_65,25.74142620063143
id_66,38.31069990422182
id_67,52.68595398648688
id_68,28.628111561515354
id_69,39.7968339223642
id_70,64.71710270898576
id_71,55.532636638087304
id_72,42.22974359207467
id_73,13.845346183392806
id_74,14.07963331432563
id_75,35.82574871152249
id_76,62.579646088402626
id_77,2.5618960494044654
id_78,41.314643809242625
id_79,42.3861819221515
id_80,8.38407591310955
id_81,22.88537884298141
id_82,5.237667123411409
id_83,30.828183346114294
id_84,8.467451099165729
id_85,5.051112635150843
id_86,17.181716050669397
id_87,11.254582731045339
id_88,20.137618302063316
id_89,25.28097030160965
id_90,34.99709299375372
id_91,11.568313519915387
id_92,12.585660586788872
id_93,9.017834802027831
id_94,38.103629877218424
id_95,14.776512397499221
id_96,16.88317246825725
id_97,8.772982149359295
id_98,11.598807321321573
id_99,4.820793987024817
id_100,9.834990724576375
id_101,18.221535131349516
id_102,11.964005862689788
id_103,8.085035609825889
id_104,12.683310576208687
id_105,36.57121830439728
id_106,25.99993835759058
id_107,7.388264084606945
id_108,16.685625397070233
id_109,15.0978014492127
id_110,12.121276646212024
id_111,16.707591987829886
id_112,16.272734716513003
id_113,26.450433471416048
id_114,18.89632023006085
id_115,16.43604976862924
id_116,5.894979619810094
id_117,46.00943421532363
id_118,26.761733017623563
id_119,0.5339600862052993
id_120,-0.9981726461553118
id_121,9.25451024472912
id_122,12.816433786722756
id_123,12.681938118812251
id_124,7.481487558142964
id_125,25.101875723040358
id_126,21.083258418819792
id_127,10.30712827142488
id_128,20.514052482944162
id_129,14.325057059787238
id_130,-0.5593172467543608
id_131,32.484266546622074
id_132,13.77650469050526
id_133,21.282297048210413
id_134,26.506273994043983
id_135,23.779414687405595
id_136,10.187450763831327
id_137,20.94324329710523
id_138,78.56438506000364
id_139,60.67909785484974
id_140,26.562244055784667
id_141,18.793444356725036
id_142,24.34380278549277
id_143,7.348452136923219
id_144,11.797422901694041
id_145,10.261284404123824
id_146,19.053638743997915
id_147,7.594516830779414
id_148,12.609723528100481
id_149,15.29601980546848
id_150,46.4267402365208
id_151,22.315647493408274
id_152,22.050019901960653
id_153,14.320438811982019
id_154,14.008088291742954
id_155,24.687649997406147
id_156,25.345423862266713
id_157,36.452815457329926
id_158,4.587680329764968
id_159,23.579529522179495
id_160,42.90874512712418
id_161,19.232629166837654
id_162,63.963947166193456
id_163,17.022711437220174
id_164,33.632369334775774
id_165,24.204733133718484
id_166,24.094124899052176
id_167,0.21747921162761674
id_168,66.72267402884442
id_169,15.302047148470692
id_170,15.928308547761407
id_171,70.13541584485047
id_172,20.393437237406484
id_173,1.7187585018007328
id_174,23.41411977615126
id_175,-0.33782755773790996
id_176,7.4195768252093846
id_177,18.214940951133702
id_178,20.42796663915803
id_179,25.020782894061586
id_180,43.10131684230181
id_181,31.81060813618489
id_182,27.913058485340635
id_183,13.115514495462136
id_184,6.774429990822243
id_185,41.75646916682286
id_186,35.96479548526912
id_187,34.586019928416015
id_188,17.186111478378027
id_189,23.211647088079708
id_190,14.28499864552894
id_191,16.37931446597095
id_192,30.72337744921731
id_193,71.73109251334049
id_194,29.26816833668505
id_195,10.885786969187848
id_196,63.470009670717374
id_197,15.858946496111123
id_198,20.131339128163965
id_199,20.848514252841948
id_200,124.18826398195353
id_201,23.22764430442021
id_202,58.22130990461031
id_203,6.246786889025595
id_204,60.764688394863214
id_205,36.595112253254165
id_206,15.014812985355206
id_207,13.631023989231329
id_208,62.931063619963524
id_209,14.699550652746717
id_210,36.320368959689006
id_211,68.73907256011024
id_212,18.578683815524066
id_213,113.49792988990131
id_214,41.12207435092715
id_215,78.4369536953817
id_216,92.65904359149826
id_217,71.76858529798673
id_218,30.08088269954216
id_219,18.088460025155786
id_220,30.583100055318464
id_221,58.0254035182762
id_222,27.868524888376523
id_223,37.690711375129894
id_224,43.092131365984976
id_225,10.756868137956229
id_226,3.9029136590471074
